"Taxa","Prevalence","Taxonomic level","Null_model","iGLM.dev.fit","hGLM.dev.fit","chGLM.dev.fit","GAM.dev.fit","SVM.dev.fit","BCT.dev.fit","RF.dev.fit","ANN.dev.fit","expl.pow_iGLM.dev.fit","expl.pow_hGLM.dev.fit","expl.pow_chGLM.dev.fit","expl.pow_GAM.dev.fit","expl.pow_SVM.dev.fit","expl.pow_BCT.dev.fit","expl.pow_RF.dev.fit","expl.pow_ANN.dev.fit","iGLM.dev.pred","hGLM.dev.pred","chGLM.dev.pred","GAM.dev.pred","SVM.dev.pred","BCT.dev.pred","RF.dev.pred","ANN.dev.pred","expl.pow_iGLM.dev.pred","expl.pow_hGLM.dev.pred","expl.pow_chGLM.dev.pred","expl.pow_GAM.dev.pred","expl.pow_SVM.dev.pred","expl.pow_BCT.dev.pred","expl.pow_RF.dev.pred","expl.pow_ANN.dev.pred","iGLM.auc.fit","hGLM.auc.fit","chGLM.auc.fit","GAM.auc.fit","SVM.auc.fit","BCT.auc.fit","RF.auc.fit","ANN.auc.fit","Null_model.auc","iGLM.auc.pred","hGLM.auc.pred","chGLM.auc.pred","GAM.auc.pred","SVM.auc.pred","BCT.auc.pred","RF.auc.pred","ANN.auc.pred","iGLM.likelihood.ratio","hGLM.likelihood.ratio","chGLM.likelihood.ratio","GAM.likelihood.ratio","SVM.likelihood.ratio","BCT.likelihood.ratio","RF.likelihood.ratio","ANN.likelihood.ratio","iGLM.auc.ratio","hGLM.auc.ratio","chGLM.auc.ratio","GAM.auc.ratio","SVM.auc.ratio","BCT.auc.ratio","RF.auc.ratio","ANN.auc.ratio","Big.model.diff","Big.pred.expl.pow.diff","chGLM.model.diff","chGLM.pred.expl.pow.diff"
"Hydrobiidae",0.14,"family",0.8,0.61,0.62,0.62,0.57,0.66,0.55,0.18,0.62,0.24,0.23,0.23,0.28,0.18,0.31,0.78,0.22,0.62,0.63,0.63,0.62,0.74,0.61,0.6,0.64,0.22,0.22,0.22,0.22,0.08,0.23,0.25,0.21,0.83,0.83,0.83,0.86,0.87,0.88,1,0.83,0.5,0.83,0.83,0.83,0.83,0.75,0.84,0.85,0.82,0.99,1,1,0.98,0.96,0.97,0.81,0.99,1,0.99,1,0.97,0.87,0.95,0.85,0.99,"RF.dev-SVM.dev",0.17,"RF.dev-chGLM",0.03
"Perlidae",0.14,"family",0.82,0.61,0.62,0.62,0.55,0.57,0.5,0.16,0.61,0.25,0.25,0.25,0.33,0.3,0.38,0.81,0.26,0.62,0.63,0.63,0.61,0.67,0.59,0.58,0.62,0.23,0.23,0.23,0.26,0.18,0.28,0.29,0.24,0.85,0.84,0.84,0.89,0.91,0.91,1,0.85,0.5,0.84,0.84,0.84,0.86,0.82,0.87,0.87,0.84,0.99,0.99,0.99,0.97,0.95,0.96,0.81,0.99,0.99,0.99,1,0.97,0.9,0.95,0.87,0.99,"RF.dev-SVM.dev",0.11,"RF.dev-chGLM",0.06
"Planorbidae",0.13,"family",0.78,0.62,0.63,0.63,0.59,0.64,0.55,0.17,0.64,0.2,0.19,0.2,0.24,0.19,0.29,0.78,0.19,0.63,0.64,0.63,0.64,0.74,0.63,0.63,0.64,0.19,0.18,0.19,0.19,0.05,0.19,0.2,0.18,0.81,0.8,0.81,0.84,0.88,0.87,1,0.8,0.5,0.8,0.8,0.8,0.81,0.74,0.81,0.81,0.8,0.99,1,1,0.98,0.95,0.96,0.8,1,0.99,0.99,1,0.97,0.85,0.93,0.81,0.99,"RF.dev-SVM.dev",0.15,"RF.dev-chGLM",0.01
"Glossosomatidae",0.12,"family",0.71,0.62,0.62,0.62,0.58,0.62,0.51,0.15,0.65,0.14,0.13,0.13,0.19,0.13,0.29,0.78,0.09,0.63,0.63,0.64,0.63,0.69,0.62,0.63,0.66,0.12,0.11,0.1,0.12,0.04,0.13,0.12,0.07,0.77,0.76,0.76,0.81,0.89,0.88,1,0.72,0.5,0.75,0.74,0.74,0.76,0.73,0.77,0.77,0.71,0.99,0.99,0.99,0.97,0.97,0.94,0.79,0.99,0.98,0.98,0.97,0.94,0.82,0.87,0.77,0.98,"BCT.dev-SVM.dev",0.09,"BCT.dev-chGLM",0.02
"Blephariceridae",0.12,"family",0.73,0.43,0.44,0.44,0.4,0.53,0.4,0.15,0.47,0.41,0.4,0.4,0.45,0.27,0.45,0.8,0.36,0.45,0.46,0.45,0.45,0.58,0.46,0.45,0.48,0.38,0.38,0.38,0.38,0.21,0.37,0.38,0.34,0.92,0.92,0.92,0.93,0.89,0.93,1,0.9,0.5,0.91,0.91,0.91,0.91,0.83,0.91,0.92,0.9,0.99,0.99,0.99,0.97,0.98,0.97,0.86,0.99,0.99,0.99,0.99,0.98,0.93,0.97,0.92,1,"GAM.dev-SVM.dev",0.17,"GAM.dev-chGLM",0
"Glossiphoniidae",0.11,"family",0.7,0.57,0.57,0.57,0.53,0.59,0.5,0.16,0.59,0.2,0.19,0.19,0.25,0.16,0.29,0.78,0.17,0.58,0.58,0.58,0.58,0.67,0.58,0.56,0.6,0.17,0.17,0.18,0.18,0.05,0.18,0.2,0.15,0.82,0.82,0.81,0.85,0.9,0.88,1,0.8,0.5,0.81,0.81,0.81,0.81,0.75,0.81,0.82,0.79,0.99,0.99,0.99,0.98,0.96,0.96,0.82,0.99,0.98,0.99,0.99,0.96,0.84,0.92,0.83,0.99,"RF.dev-SVM.dev",0.15,"RF.dev-chGLM",0.03
"Capniidae",0.1,"family",0.67,0.47,0.48,0.48,0.4,0.43,0.37,0.11,0.46,0.31,0.29,0.29,0.4,0.36,0.45,0.83,0.32,0.48,0.49,0.49,0.45,0.52,0.45,0.44,0.47,0.29,0.27,0.27,0.32,0.23,0.33,0.34,0.31,0.89,0.88,0.88,0.92,0.93,0.94,1,0.89,0.5,0.88,0.87,0.87,0.89,0.87,0.89,0.89,0.89,0.99,0.99,0.99,0.98,0.96,0.96,0.85,1,0.99,0.99,0.99,0.97,0.94,0.95,0.89,1,"RF.dev-SVM.dev",0.11,"RF.dev-chGLM",0.07
"Goeridae",0.09,"family",0.61,0.57,0.57,0.57,0.54,0.56,0.53,0.14,0.6,0.07,0.06,0.06,0.11,0.09,0.13,0.78,0.01,0.58,0.59,0.58,0.58,0.6,0.57,0.57,0.61,0.06,0.04,0.05,0.05,0.01,0.07,0.07,0.01,0.7,0.69,0.7,0.74,0.88,0.79,1,0.58,0.5,0.69,0.66,0.68,0.68,0.6,0.7,0.72,0.57,0.99,0.99,1,0.98,0.98,0.98,0.81,1,0.98,0.96,0.98,0.92,0.68,0.88,0.72,0.98,"RF.dev-ANN.dev",0.06,"RF.dev-chGLM",0.02
"Philopotamidae",0.09,"family",0.62,0.44,0.45,0.45,0.41,0.49,0.4,0.12,0.47,0.3,0.29,0.28,0.35,0.21,0.35,0.8,0.24,0.46,0.46,0.46,0.46,0.54,0.46,0.45,0.48,0.26,0.26,0.26,0.26,0.14,0.26,0.28,0.23,0.87,0.87,0.87,0.9,0.89,0.91,1,0.85,0.5,0.86,0.86,0.86,0.86,0.78,0.87,0.87,0.85,0.99,0.99,0.99,0.97,0.98,0.97,0.85,1,0.98,0.99,0.99,0.96,0.88,0.95,0.87,1,"RF.dev-SVM.dev",0.14,"RF.dev-chGLM",0.02
"Dixidae",0.09,"family",0.61,0.45,0.46,0.46,0.41,0.48,0.39,0.15,0.5,0.26,0.25,0.25,0.32,0.2,0.36,0.76,0.18,0.47,0.47,0.47,0.47,0.55,0.47,0.47,0.51,0.22,0.23,0.22,0.23,0.09,0.23,0.22,0.17,0.86,0.86,0.86,0.89,0.9,0.91,1,0.82,0.5,0.85,0.85,0.85,0.86,0.76,0.85,0.85,0.81,0.99,0.99,0.99,0.97,0.97,0.96,0.85,1,0.98,0.99,1,0.96,0.84,0.93,0.85,0.99,"hGLM.dev-SVM.dev",0.14,"hGLM.dev-chGLM",0
"Gyrinidae",0.08,"family",0.58,0.44,0.45,0.45,0.41,0.45,0.37,0.11,0.48,0.23,0.22,0.22,0.29,0.22,0.36,0.81,0.18,0.47,0.47,0.47,0.47,0.54,0.46,0.42,0.5,0.19,0.19,0.19,0.19,0.07,0.21,0.27,0.14,0.85,0.84,0.84,0.88,0.92,0.92,1,0.81,0.5,0.83,0.83,0.82,0.83,0.74,0.83,0.86,0.79,0.99,0.99,0.99,0.97,0.96,0.96,0.86,0.99,0.98,0.98,0.98,0.95,0.8,0.9,0.86,0.98,"RF.dev-SVM.dev",0.21,"RF.dev-chGLM",0.09
"Caenidae",0.08,"family",0.54,0.42,0.42,0.43,0.37,0.33,0.32,0.09,0.45,0.23,0.22,0.21,0.32,0.38,0.4,0.84,0.16,0.43,0.43,0.43,0.42,0.46,0.4,0.39,0.46,0.2,0.2,0.2,0.22,0.15,0.26,0.28,0.14,0.84,0.84,0.84,0.88,0.92,0.93,1,0.8,0.5,0.83,0.83,0.83,0.83,0.78,0.84,0.84,0.79,0.99,1,1,0.97,0.94,0.96,0.86,0.99,0.99,0.99,0.99,0.94,0.85,0.9,0.84,0.98,"RF.dev-ANN.dev",0.14,"RF.dev-chGLM",0.08
"Leptoceridae",0.08,"family",0.55,0.41,0.42,0.42,0.38,0.38,0.39,0.1,0.44,0.26,0.24,0.24,0.32,0.31,0.3,0.82,0.2,0.43,0.44,0.44,0.45,0.49,0.45,0.42,0.46,0.22,0.21,0.21,0.19,0.12,0.19,0.24,0.17,0.86,0.86,0.86,0.89,0.95,0.89,1,0.83,0.5,0.84,0.84,0.84,0.83,0.78,0.83,0.85,0.81,0.99,0.99,0.99,0.96,0.95,0.97,0.85,0.99,0.98,0.98,0.98,0.93,0.83,0.93,0.85,0.97,"RF.dev-SVM.dev",0.13,"RF.dev-chGLM",0.03
"Calopterygidae",0.08,"family",0.54,0.44,0.44,0.44,0.41,0.46,0.41,0.12,0.45,0.19,0.18,0.18,0.24,0.15,0.25,0.79,0.17,0.46,0.46,0.45,0.46,0.53,0.46,0.45,0.46,0.16,0.16,0.16,0.16,0.02,0.16,0.16,0.15,0.82,0.82,0.82,0.85,0.91,0.87,1,0.8,0.5,0.8,0.8,0.8,0.81,0.7,0.81,0.81,0.79,0.99,0.99,1,0.98,0.97,0.98,0.84,1,0.98,0.98,0.98,0.95,0.78,0.94,0.81,0.99,"RF.dev-SVM.dev",0.14,"RF.dev-chGLM",0
"Tabanidae",0.07,"family",0.53,0.49,0.5,0.5,0.45,0.48,0.46,0.13,0.5,0.08,0.06,0.06,0.15,0.09,0.13,0.76,0.05,0.5,0.51,0.5,0.5,0.53,0.5,0.55,0.51,0.05,0.04,0.06,0.06,0,0.06,-0.03,0.04,0.72,0.71,0.7,0.79,0.89,0.79,1,0.69,0.5,0.7,0.68,0.71,0.72,0.59,0.71,0.67,0.69,0.99,0.99,1,0.98,0.98,0.98,0.81,1,0.98,0.96,1,0.91,0.66,0.9,0.67,1,"GAM.dev-RF.dev",0.09,"GAM.dev-chGLM",0.01
"Pediciidae",0.07,"family",0.51,0.45,0.46,0.46,0.38,0.38,0.35,0.09,0.48,0.12,0.1,0.1,0.25,0.26,0.31,0.83,0.05,0.46,0.47,0.47,0.42,0.48,0.41,0.41,0.49,0.09,0.08,0.08,0.17,0.06,0.2,0.19,0.04,0.78,0.76,0.76,0.87,0.93,0.91,1,0.69,0.5,0.76,0.74,0.75,0.82,0.75,0.84,0.83,0.68,0.99,0.99,0.99,0.98,0.95,0.97,0.85,1,0.98,0.97,1,0.94,0.81,0.92,0.83,0.99,"BCT.dev-ANN.dev",0.16,"BCT.dev-chGLM",0.12
"Cordulegastridae",0.07,"family",0.48,0.41,0.42,0.42,0.39,0.43,0.39,0.11,0.44,0.15,0.14,0.13,0.2,0.11,0.2,0.77,0.08,0.43,0.43,0.43,0.43,0.48,0.43,0.44,0.44,0.12,0.12,0.1,0.12,0.02,0.11,0.09,0.08,0.79,0.79,0.78,0.83,0.93,0.85,1,0.73,0.5,0.77,0.77,0.75,0.78,0.65,0.77,0.77,0.73,0.99,1,0.99,0.98,0.98,0.98,0.85,1,0.97,0.98,0.97,0.94,0.71,0.91,0.77,1,"GAM.dev-SVM.dev",0.1,"GAM.dev-chGLM",0.02
"Anthomyiidae",0.07,"family",0.48,0.46,0.47,0.47,0.44,0.47,0.45,0.13,0.48,0.04,0.03,0.03,0.09,0.04,0.07,0.73,0.01,0.49,0.49,0.5,0.5,0.49,0.49,0.49,0.5,-0.01,-0.02,-0.03,-0.03,-0.01,0,-0.01,-0.02,0.65,0.64,0.62,0.72,0.87,0.76,1,0.57,0.5,0.58,0.55,0.52,0.59,0.59,0.56,0.64,0.51,0.99,0.99,0.99,0.97,0.99,0.98,0.83,0.99,0.89,0.86,0.84,0.81,0.68,0.74,0.64,0.89,"BCT.dev-GAM.dev",0.03,"BCT.dev-chGLM",0.02
"Lepidostomatidae",0.06,"family",0.45,0.37,0.38,0.38,0.32,0.34,0.31,0.08,0.38,0.19,0.17,0.17,0.3,0.26,0.32,0.82,0.16,0.39,0.39,0.39,0.4,0.41,0.38,0.37,0.41,0.13,0.14,0.14,0.13,0.1,0.16,0.19,0.1,0.81,0.81,0.81,0.88,0.92,0.92,1,0.81,0.5,0.78,0.78,0.79,0.79,0.74,0.79,0.81,0.78,0.99,0.99,0.99,0.96,0.96,0.96,0.87,0.99,0.96,0.97,0.98,0.89,0.81,0.86,0.81,0.97,"RF.dev-SVM.dev",0.08,"RF.dev-chGLM",0.05
"Physidae",0.06,"family",0.44,0.36,0.37,0.37,0.33,0.38,0.33,0.09,0.38,0.18,0.16,0.15,0.24,0.12,0.24,0.79,0.13,0.38,0.39,0.38,0.4,0.46,0.39,0.4,0.39,0.13,0.11,0.13,0.09,-0.04,0.11,0.08,0.11,0.82,0.81,0.8,0.86,0.93,0.87,1,0.78,0.5,0.8,0.79,0.79,0.79,0.66,0.79,0.77,0.78,0.99,0.99,0.99,0.97,0.96,0.97,0.86,1,0.98,0.98,0.99,0.91,0.71,0.9,0.77,1,"iGLM.dev-SVM.dev",0.18,"iGLM.dev-chGLM",0.01
"Sialidae",0.05,"family",0.41,0.37,0.37,0.38,0.35,0.37,0.37,0.09,0.4,0.1,0.09,0.08,0.14,0.09,0.1,0.78,0.01,0.39,0.4,0.39,0.39,0.41,0.38,0.41,0.41,0.05,0.03,0.05,0.04,0,0.06,0,0,0.75,0.73,0.73,0.8,0.93,0.77,1,0.58,0.5,0.72,0.71,0.71,0.71,0.57,0.71,0.69,0.55,0.99,0.99,0.99,0.98,0.98,0.99,0.85,1,0.96,0.98,0.97,0.89,0.62,0.92,0.69,0.95,"BCT.dev-RF.dev",0.06,"BCT.dev-chGLM",0.01
